id_hogar,cve_municipio,municipio,edad_receptor,genero_receptor,escolaridad,n_dependientes,tipo_vivienda_actual,antiguedad_recepcion_meses,remesa_mediana_esperada_usd,remesa_total_24m,m_2023_01,m_2023_02,m_2023_03,m_2023_04,m_2023_05,m_2023_06,m_2023_07,m_2023_08,m_2023_09,m_2023_10,m_2023_11,m_2023_12,m_2024_01,m_2024_02,m_2024_03,m_2024_04,m_2024_05,m_2024_06,m_2024_07,m_2024_08,m_2024_09,m_2024_10,m_2024_11,m_2024_12
H002432,14036,Etzatlán,34,F,secundaria,3,propia,34,870.67,19907.7458,810.8779,776.4067,1618.6802,1125.0266,419.7757,819.9649,1316.7932,0.0,830.7675,905.5934,1314.8649,654.3431,543.4908,842.194,952.0701,941.4771,977.3685,841.8479,1003.4389,918.3245,0.0,868.4303,703.2437,722.7658
H002433,14036,Etzatlán,45,F,superior,4,propia,67,249.82,5910.4745,239.4483,141.9465,302.2198,214.481,247.5104,237.4194,0.0,383.0871,404.2018,345.2666,241.9302,322.8068,112.2906,249.0216,276.8065,147.2608,215.1099,271.336,273.2069,328.5663,388.6279,242.9806,0.0,324.9496
H002434,14036,Etzatlán,21,M,primaria,1,rentada,34,298.44,7300.3397,354.4426,361.0488,338.6436,497.9863,281.2254,477.8005,207.5582,152.3719,201.3034,256.1962,282.4859,231.9273,252.1418,300.9051,327.1059,265.8831,433.811,236.2084,271.8377,252.1742,344.4405,267.6555,317.6329,387.5535
H002435,14036,Etzatlán,48,M,media_superior,1,propia,78,209.76,4548.5693,147.0953,109.41,194.0336,154.0583,177.3953,101.6617,127.4493,263.4357,151.7899,299.2675,160.8933,247.2416,158.4671,211.6679,192.4316,207.1614,307.4415,241.1386,167.5658,120.1905,193.5828,241.8507,207.6848,165.6551
H002436,14036,Etzatlán,54,M,secundaria,3,prestada,168,366.52,9473.1189,311.84,370.9626,545.2951,318.19,769.9413,562.1644,376.4915,393.0196,525.0585,280.7089,274.0684,256.6216,276.7367,237.4443,326.3718,336.5684,249.7327,547.9847,508.4605,317.9966,539.5795,417.4353,478.9394,251.5071
H002437,14036,Etzatlán,42,F,sin_estudios,1,prestada,62,614.8,15306.642,453.2623,616.5035,579.0328,541.6377,607.7756,686.8069,621.0809,964.5797,438.1515,642.3168,715.3666,436.0891,452.2861,539.5215,944.5146,593.6355,784.3152,783.8012,267.6676,625.091,515.4892,971.268,714.2635,812.1853
H002438,14036,Etzatlán,67,M,secundaria,3,propia,46,277.14,6020.6293,262.6913,238.3237,350.0219,255.492,412.6223,202.7198,367.4697,247.4073,322.3724,177.5338,283.8797,270.9141,222.5444,137.5504,276.5415,267.0734,167.756,197.9169,283.7964,310.1256,260.1835,0.0,264.3503,241.3429
H002439,14037,El Grullo,34,F,sin_estudios,3,prestada,38,248.45,5924.1579,191.8727,0.0,206.8086,227.6292,364.695,240.0036,444.8966,434.7649,241.6345,223.59,457.2878,316.0435,229.9629,167.6346,216.5729,171.8234,392.7037,288.1837,221.7596,214.7775,176.967,247.3434,247.2029,0.0
H002440,14037,El Grullo,48,F,media_superior,1,propia,84,667.13,14997.5604,409.0553,456.1037,906.7118,526.0245,402.312,483.4332,1082.0977,593.8077,468.6502,414.7707,635.8772,708.1907,617.9394,1238.6776,458.6349,555.3093,742.3565,587.3694,355.6819,769.7708,528.1434,496.0533,485.6836,1074.9052
H002441,14037,El Grullo,45,F,media_superior,3,propia,31,266.99,5575.2381,318.1328,161.6185,158.6992,0.0,498.9054,530.1289,172.2567,0.0,254.0068,153.9668,196.3154,216.6279,249.8117,149.0508,348.1109,284.7805,367.8455,220.1979,293.2585,195.6098,310.3149,253.0491,242.5503,0.0
H002442,14037,El Grullo,44,F,sin_estudios,4,prestada,151,273.18,7364.0621,133.3324,323.0368,276.6191,359.7939,387.5937,215.402,246.7446,172.066,373.0631,305.3512,274.2499,257.4257,167.2286,331.9652,486.4067,373.5362,265.6002,306.6759,365.6449,0.0,460.6842,400.4714,585.634,295.5363
H002443,14037,El Grullo,44,F,secundaria,1,propia,110,338.36,7333.3093,135.5211,288.1699,299.1205,330.2171,583.2057,288.9258,259.1563,277.8907,606.8021,300.3312,345.5474,594.5484,334.5659,145.5651,290.166,259.148,207.1633,294.5399,0.0,369.6406,323.1183,279.2937,0.0,520.6722
H002444,14037,El Grullo,46,F,superior,1,propia,36,172.16,4153.9075,118.5686,198.1406,163.9698,245.1215,208.7195,0.0,131.5472,250.3287,154.4455,137.7218,155.5728,173.5585,181.082,82.6208,342.4738,182.9797,174.9947,196.3479,107.3708,177.2992,198.5545,160.4504,189.9924,222.0469
H002445,14037,El Grullo,55,F,primaria,2,propia,52,257.63,6508.0198,169.2866,309.9659,250.14,418.2728,386.417,290.604,198.4723,247.5932,330.0053,222.1335,276.8922,309.0756,202.8413,168.7907,406.953,274.7646,240.7868,204.5235,327.9093,250.674,327.0751,199.7074,266.4573,228.6786
H002446,14037,El Grullo,62,M,superior,1,rentada,140,871.41,21660.208,1182.3497,809.6128,642.8901,1063.7019,1278.6655,790.2072,671.7143,453.2434,1147.0892,529.2905,813.0357,536.6278,1203.1885,1075.1678,940.4942,1099.4943,856.0256,684.7984,520.8261,1091.8355,617.4017,1859.0909,594.9175,1198.5394
H002447,14037,El Grullo,45,F,primaria,3,propia,80,520.19,11923.8352,615.6581,292.7251,450.5083,451.0727,1476.6711,484.5842,364.13,596.7834,364.4568,0.0,430.7369,618.8756,359.013,353.6067,705.6666,525.3061,535.6504,295.9607,610.4414,449.9015,537.8867,307.6059,534.0182,562.5759
H002448,14037,El Grullo,55,F,sin_estudios,4,rentada,51,496.62,11388.5799,377.7964,319.2803,691.1205,370.0361,662.5002,676.1079,380.3002,614.2658,417.1323,608.6893,357.0725,490.6246,413.3771,410.5684,548.9001,363.3355,431.2431,613.0853,430.187,426.1745,369.6005,440.8974,347.6436,628.6414
H002449,14037,El Grullo,37,M,secundaria,4,rentada,36,499.8,10927.3089,356.4859,303.212,465.3317,307.7185,397.0191,744.6813,355.0357,0.0,910.1788,546.4354,407.123,284.9602,0.0,332.6823,581.8083,380.1695,553.6704,765.0416,595.0872,337.0398,488.8463,673.902,302.7671,838.1129
H002450,14037,El Grullo,54,F,primaria,0,prestada,55,500.42,11706.9598,424.4229,494.2384,447.0623,0.0,393.0239,788.9724,828.2044,933.2069,283.9564,560.1616,537.6221,415.7012,454.3217,273.7085,761.7618,295.982,550.024,631.5938,410.3051,743.5183,279.0592,503.9574,288.6382,407.5174
H002451,14037,El Grullo,36,F,media_superior,3,prestada,45,314.06,6929.2242,0.0,222.5273,450.7232,206.5093,203.2238,277.0405,317.4426,361.5158,419.9027,169.7729,487.9227,252.388,235.5092,263.6791,164.1255,256.6128,429.1504,378.4443,265.1018,331.9973,342.6792,295.791,343.4409,253.7241
H002452,14037,El Grullo,58,M,secundaria,2,propia,74,366.01,8052.8542,225.6667,279.7295,178.0575,0.0,383.012,343.2852,452.1161,407.1999,476.598,0.0,381.6697,302.7826,368.4753,247.3219,289.1881,311.5864,525.1262,456.6924,464.1241,376.8096,412.2123,443.6752,283.0033,444.5221
H002453,14037,El Grullo,72,F,media_superior,4,propia,48,445.56,10302.0526,362.1617,329.9018,396.5171,351.4585,418.9956,445.0,529.5333,689.1114,501.6703,468.6058,234.4,926.1869,294.5412,304.7046,638.1854,299.1633,507.4867,0.0,404.4771,448.957,299.0608,436.6442,569.8464,445.4434
H002454,14037,El Grullo,44,F,secundaria,2,prestada,30,305.47,6728.3173,694.2333,261.6721,212.4626,243.1494,176.7886,419.6072,0.0,388.5069,227.4535,240.2723,358.8679,267.887,193.0814,191.4682,522.5478,247.2824,398.2178,359.3541,232.7955,306.9722,216.9523,0.0,221.259,347.4857
H002455,14037,El Grullo,19,F,secundaria,2,propia,129,685.09,13213.6415,482.2137,435.4516,928.891,545.3804,408.8899,0.0,544.1913,712.5273,839.3237,773.0004,841.6157,478.2364,792.573,0.0,445.3801,309.1765,639.0721,544.5039,534.1863,750.477,1081.6862,534.2679,0.0,592.5973
H002456,14037,El Grullo,38,F,media_superior,1,prestada,88,176.97,4154.6263,107.7877,109.518,283.2344,0.0,170.9165,144.8833,176.4718,145.7197,297.1645,193.6282,174.474,187.1504,211.4133,146.6206,152.0628,172.1198,227.9859,250.7295,184.2957,187.977,225.6832,80.5902,171.8686,152.3312
H002457,14037,El Grullo,60,M,secundaria,2,rentada,30,329.0,7693.4487,272.329,304.5468,468.589,203.2731,272.0286,253.6799,269.1724,218.5077,587.1314,431.6903,247.9657,337.731,235.6499,287.2167,259.5284,195.1728,284.0263,494.0724,208.0063,450.8495,369.5033,297.3107,388.0371,357.4306
H002458,14037,El Grullo,52,F,media_superior,5,prestada,40,625.03,13560.2805,271.5766,462.8438,553.2603,886.1831,567.4376,588.1736,434.5671,609.2462,420.1081,873.6288,522.8017,450.2159,728.8549,355.2231,0.0,374.6984,695.6284,856.0378,505.1995,438.9838,425.0972,624.8949,1041.7314,873.8881
H002459,14037,El Grullo,48,F,secundaria,0,propia,99,594.43,13429.8269,682.0637,362.0801,810.6197,736.7854,663.9036,494.3913,773.1263,483.7718,686.9486,540.1678,421.2176,539.3033,861.966,352.0208,785.9229,705.7075,575.059,0.0,402.8572,861.6876,399.45,266.4241,615.7611,408.5914
H002460,14037,El Grullo,57,M,primaria,4,propia,33,303.13,7437.4403,238.8566,170.3784,252.5715,286.9956,335.2487,449.5717,296.4903,310.6377,269.208,404.0077,205.8179,272.4218,246.5833,193.7356,451.2812,308.7688,216.0161,342.1186,435.3701,243.6899,430.7827,332.1592,304.3637,440.3652
H002461,14037,El Grullo,51,M,secundaria,2,prestada,53,437.19,10080.9325,377.6938,408.8254,443.9209,242.3671,503.796,471.3097,382.3162,205.3932,500.0498,345.1017,297.214,312.0981,200.1745,417.4876,862.8036,342.0862,568.1474,425.8173,463.4773,425.7347,524.1337,311.6052,426.0045,623.3743
H002462,14037,El Grullo,60,F,secundaria,1,propia,49,435.42,10023.1376,435.3103,399.5984,442.8018,363.3268,400.919,276.2884,493.4727,645.4668,452.3031,444.6235,491.2888,238.9029,305.3128,355.3057,260.7224,423.4157,258.2688,533.9599,454.8901,408.8247,518.8223,461.9749,473.77,483.5679
H002463,14037,El Grullo,56,F,primaria,5,prestada,36,1010.76,27367.946,639.0024,1335.6651,1439.9192,1063.4135,1078.7918,1261.2375,1430.575,1755.3379,821.5687,1396.1943,932.3556,644.0098,1051.9434,1296.6752,1329.1364,892.2522,1156.5748,1242.3215,1169.2276,1440.2379,1270.2938,866.5966,963.9953,890.6204
H002464,14037,El Grullo,63,M,secundaria,1,propia,29,265.16,6070.8142,226.2358,127.7479,461.5437,195.6601,232.9185,271.9854,173.0084,238.6222,265.4833,437.1821,261.6219,240.542,155.059,414.2223,0.0,252.0074,181.0403,309.6674,218.141,405.5977,289.5657,279.5182,170.1816,263.2622
H002465,14037,El Grullo,49,F,primaria,0,propia,58,417.33,9768.4168,318.9465,360.7996,231.3049,296.425,368.4498,483.8821,231.5117,621.7255,572.603,316.7133,815.2888,457.3681,328.9174,414.3147,466.2856,400.7003,0.0,367.4777,453.1431,529.4001,606.8002,370.8125,404.2341,351.3131
H002466,14037,El Grullo,56,F,primaria,1,rentada,31,315.15,7631.7513,353.5667,239.8465,262.0781,297.7239,196.9422,369.8145,281.3345,705.2136,250.4584,296.0732,402.0294,405.1492,347.6048,242.0818,0.0,639.859,374.5102,337.1169,390.3523,213.4666,262.6389,235.7808,313.2191,214.8904
H002467,14037,El Grullo,41,F,media_superior,3,prestada,40,754.52,16569.5472,748.2876,890.5759,1044.0922,796.5584,815.2616,668.1423,841.5115,725.4912,415.2797,639.7436,0.0,554.0489,438.6734,593.3629,394.4772,867.1327,930.1118,997.5053,787.1913,583.3062,501.0512,901.3176,880.9153,555.5094
H002468,14037,El Grullo,38,M,media_superior,2,propia,109,356.98,8264.7815,201.2293,296.0237,367.2214,435.742,442.8037,349.0827,473.0054,319.9202,310.6987,465.3236,447.4825,486.9226,275.5866,304.0069,273.5645,431.2975,306.4617,198.8779,306.6307,275.7401,153.6598,306.5452,425.0614,411.8933
H002469,14037,El Grullo,65,F,primaria,3,propia,36,287.32,6539.606,263.8557,364.1143,239.5718,190.4299,339.2037,319.4313,193.7025,270.941,320.6664,316.4937,337.0739,241.0281,154.1795,183.2461,365.9591,361.2446,279.3354,448.4335,267.8568,0.0,0.0,285.5481,371.212,426.0787
H002470,14037,El Grullo,48,F,superior,3,propia,83,529.64,12480.7023,589.9326,511.4126,836.4107,0.0,765.9132,575.87,550.8459,346.3498,557.8699,755.2203,268.3108,683.6058,220.369,291.3299,509.1277,781.9165,520.9179,608.6748,396.4476,496.7916,496.6126,868.2745,402.493,446.0057
H002471,14037,El Grullo,55,M,superior,2,propia,117,265.37,6131.2715,296.2348,205.8229,271.1121,279.7254,224.8131,145.4402,355.7369,272.6595,173.8127,338.8578,0.0,384.8558,397.7887,154.3227,282.1856,273.2048,261.8693,241.2987,108.8277,433.1038,157.3112,351.5861,251.9423,268.7595
H002472,14037,El Grullo,46,F,media_superior,2,rentada,56,413.38,10557.093,316.7017,365.4532,493.074,507.0843,406.834,290.5008,280.8585,556.8856,363.7413,310.9303,314.6541,410.9387,230.7961,341.5769,590.1643,370.352,0.0,533.9149,559.8774,577.5282,400.7781,832.8337,485.5465,1016.0681
H002473,14037,El Grullo,38,F,sin_estudios,4,rentada,86,513.83,10000.2155,621.7761,609.1565,422.9655,360.873,542.8316,486.1404,429.0282,491.1205,461.9601,432.6857,0.0,421.1006,412.8732,299.9871,522.9356,505.6888,395.7101,525.1603,488.1483,445.6948,428.8584,0.0,0.0,695.5205
H002474,14037,El Grullo,45,F,primaria,2,prestada,33,174.24,4260.2016,104.5967,137.5132,143.7754,164.5334,192.5682,123.2968,202.7477,326.4729,174.5557,137.2378,151.3466,0.0,116.5662,179.638,100.8277,175.0989,259.8916,250.0004,230.1269,142.5447,254.6867,197.1761,250.4109,244.5891
H002475,14037,El Grullo,62,M,secundaria,0,propia,101,263.44,5679.3077,0.0,204.4517,521.1399,144.9305,255.6735,174.5789,266.5635,290.4833,207.8487,226.6038,169.1866,307.3943,186.9504,248.6824,0.0,262.7792,334.2647,303.5111,273.9941,253.7812,288.7701,224.2884,235.3958,298.0354
H002476,14037,El Grullo,52,F,media_superior,5,propia,94,898.27,21661.5842,1147.8504,0.0,0.0,906.0792,1307.4478,1141.2704,883.8866,1278.2801,503.1079,1228.3497,775.1785,1104.3944,982.6843,792.89,906.1873,742.8344,1507.2249,994.9753,937.4698,1389.3435,738.5417,848.2571,0.0,1545.3307
H002477,14037,El Grullo,24,M,secundaria,2,rentada,166,419.65,9059.4624,345.9894,391.9969,260.1625,567.2259,311.826,358.593,433.6213,344.431,226.281,296.6945,408.7796,665.3495,517.4735,391.4721,434.2466,0.0,632.4371,434.8099,428.9387,442.384,0.0,285.353,399.0502,482.3469
H002478,14037,El Grullo,42,F,secundaria,2,propia,136,227.65,4997.2713,106.2649,248.4874,308.5607,119.2758,205.9145,203.8443,0.0,181.3381,186.0793,276.6911,310.7105,273.539,141.6629,239.4566,268.6216,89.2723,334.5525,237.0169,234.0069,0.0,348.3872,255.3833,270.4824,157.7229
H002479,14037,El Grullo,66,F,media_superior,1,rentada,72,405.35,7861.1258,383.3324,395.1187,0.0,257.2519,406.5509,306.5885,322.8618,565.8303,396.208,402.2391,271.6572,408.6863,315.632,253.3896,550.843,0.0,329.7674,455.8092,230.0527,441.9412,485.8237,296.2445,385.2974,0.0
H002480,14037,El Grullo,42,M,superior,1,propia,111,163.57,3871.901,310.8431,290.9677,177.6701,124.8779,179.4688,227.9193,97.8342,87.9071,111.3362,207.9032,196.9605,190.3231,184.4224,129.3189,149.2892,169.9017,0.0,184.7605,0.0,182.8197,236.669,149.5528,135.7212,145.4343
H002481,14037,El Grullo,23,F,secundaria,4,rentada,146,409.41,8630.365,423.2498,271.5935,0.0,246.6053,0.0,402.9203,676.5521,0.0,351.4081,357.279,317.8731,300.9422,535.363,273.4489,670.5355,391.0331,408.0946,421.7826,570.9853,316.3666,452.8792,411.3168,436.1404,393.9956
H002482,14037,El Grullo,68,F,superior,6,propia,43,453.72,10362.1859,332.0963,441.4296,298.9816,633.7236,478.2667,386.5641,494.2926,367.4563,442.4592,472.7072,621.2165,503.196,265.7949,448.7403,554.0894,262.2022,326.906,819.4308,402.4415,411.5811,427.9228,381.9907,255.1854,333.511
H002483,14037,El Grullo,53,M,media_superior,3,rentada,46,365.25,8638.0475,246.3921,262.7692,0.0,218.6667,317.0573,507.2995,293.1763,343.8025,531.7438,303.3319,848.0028,484.9609,304.0454,283.1874,535.2591,276.4467,328.507,586.1278,319.8299,316.2662,286.5313,210.4717,465.6117,368.5604
H002484,14037,El Grullo,44,F,primaria,2,propia,63,271.67,6109.4363,302.63,0.0,237.191,207.4235,339.1264,214.7831,297.3487,272.8118,190.6118,242.0228,257.8552,253.4287,385.63,242.7241,253.4603,226.5403,259.3784,227.5303,208.5965,321.6039,406.829,241.8493,291.6322,228.429
H002485,14037,El Grullo,41,F,media_superior,5,propia,30,849.31,16073.7649,712.515,482.3402,653.3131,606.8772,0.0,603.1244,430.1532,564.0992,768.8582,683.8954,678.0864,937.9594,543.1066,691.7762,1571.5992,704.5128,816.551,950.7351,653.1565,708.901,786.93,913.6413,611.6335,0.0
H002486,14037,El Grullo,58,M,primaria,3,propia,62,327.31,7718.493,419.4137,155.6585,362.8653,295.6045,306.3399,360.6154,479.7426,350.5101,413.314,328.8165,344.7901,285.113,269.3324,251.9974,333.7692,186.7793,240.9411,464.4322,481.832,195.5121,264.0606,267.0423,333.6643,326.3464
H002487,14037,El Grullo,38,F,primaria,3,propia,58,162.13,3357.4475,161.0966,90.9282,177.5611,136.363,133.349,184.785,147.4204,156.3091,228.7019,168.216,271.5704,83.606,131.5654,0.0,122.0137,124.0737,217.0719,144.0472,0.0,195.4043,109.1826,269.1512,105.0311,0.0
H002488,14037,El Grullo,59,M,superior,2,propia,129,352.96,7381.136,505.3234,267.5772,395.0064,317.0728,360.3097,277.8836,394.1915,517.5007,190.1773,273.4289,284.0022,277.9717,346.8641,246.3636,357.2035,507.2547,212.8234,387.8182,332.8754,338.3889,257.8524,0.0,333.2465,0.0
H002489,14037,El Grullo,52,F,secundaria,3,propia,136,643.49,14117.5561,642.5639,389.2037,422.0119,331.2575,684.9825,804.3979,445.813,441.1014,0.0,951.3975,900.8147,728.5542,644.1271,0.0,418.6936,398.9055,657.7592,845.2017,598.9532,764.094,597.2258,715.01,763.6061,971.8817
H002490,14037,El Grullo,48,F,secundaria,2,propia,65,787.24,19905.8764,696.6013,1160.0341,726.5374,1077.1235,953.8734,460.4785,1165.567,597.0459,697.2913,1033.6915,598.7374,787.8523,776.9516,515.6927,725.9519,658.3315,1066.8985,1248.9429,557.2676,799.7924,643.1601,807.2859,1251.4135,899.3543
H002491,14037,El Grullo,47,M,superior,0,propia,46,112.96,2463.6148,77.9183,63.0367,149.6819,91.5756,91.8568,123.6429,130.9019,100.6705,81.5379,171.5415,130.6535,154.2376,82.7776,73.8344,95.4711,66.9993,104.5671,92.7493,107.9499,113.7986,110.5408,96.6632,75.4196,75.5886
H002492,14037,El Grullo,43,F,primaria,3,propia,210,260.92,6293.0804,224.8604,226.3984,171.3556,367.9314,340.4476,193.5371,275.7768,248.8973,268.6246,278.8689,300.7397,411.6142,231.8188,254.4272,396.3959,206.6966,202.6133,318.1731,178.1566,204.4112,386.7354,160.1239,269.8793,174.5972
H002493,14037,El Grullo,58,M,primaria,3,propia,84,321.04,7526.1122,294.7104,458.4426,235.6747,160.6203,364.0341,267.3229,297.3673,354.8284,360.8798,385.9642,301.3764,372.8291,247.2244,243.0674,315.7563,352.8188,271.1363,342.3221,274.31,256.8576,416.5233,363.7803,339.7046,248.5608
H002494,14037,El Grullo,35,M,sin_estudios,5,propia,57,409.42,10714.5415,309.9041,407.2568,451.3271,806.3656,445.9878,337.193,352.2845,316.1783,0.0,428.3986,338.138,619.3088,431.5074,439.9868,375.7721,496.6732,564.5836,654.8091,341.4933,407.9535,312.9519,902.8602,365.1605,608.4472
H002495,14037,El Grullo,26,M,secundaria,3,propia,48,205.82,4364.2562,175.3681,222.1858,0.0,250.369,227.9474,339.9147,220.1549,165.3258,228.3364,209.7163,145.7996,0.0,139.749,160.1541,205.8707,105.2971,185.189,270.2426,190.1854,116.9469,191.4731,241.005,178.4712,194.5541
H002496,14037,El Grullo,52,F,primaria,2,propia,32,487.83,9470.0018,348.2303,488.0911,0.0,531.2638,460.5001,705.5392,413.6173,349.6378,557.4406,572.87,520.9921,639.1266,295.8294,322.7493,710.2089,0.0,435.8081,291.012,331.0101,365.7324,394.231,0.0,309.1636,426.9482
H002497,14037,El Grullo,53,F,sin_estudios,2,propia,169,576.95,13547.8184,324.0067,425.1347,1148.2348,758.8501,697.2359,495.4998,411.19,558.5329,348.4327,709.1424,515.1314,584.8259,288.0475,488.2002,531.5328,404.1756,629.3231,513.8302,615.0524,686.9569,399.8203,604.9872,560.3092,849.3657
H002498,14037,El Grullo,51,M,media_superior,3,propia,150,255.26,5894.9114,265.889,192.1687,222.6256,247.4333,187.4338,192.0178,217.5375,125.9807,181.9042,235.2814,542.5,215.904,252.147,200.8345,287.0402,172.3332,165.595,382.8877,168.8935,391.8268,218.1305,203.4716,207.5854,417.4897
H002499,14037,El Grullo,50,F,primaria,1,rentada,104,371.99,9342.2743,246.5902,277.285,489.4807,396.5773,699.0552,524.3074,296.46,541.4511,201.6043,473.9083,290.4808,452.7584,538.7193,189.967,482.0188,441.6094,461.1333,279.2888,354.2614,278.427,402.1482,257.7549,309.6231,457.3646
H002500,14037,El Grullo,41,M,secundaria,3,propia,34,548.23,12184.6542,359.7838,406.9593,415.2007,548.387,0.0,442.6343,445.4088,570.269,382.8972,549.8965,523.8959,586.4981,381.8161,546.0284,718.5025,615.0189,595.4326,361.072,876.5748,553.8554,572.4692,452.9429,487.1137,791.9969
H002501,14037,El Grullo,54,M,primaria,5,propia,48,842.23,18833.1885,862.4082,640.9944,1303.3606,580.9716,525.1166,478.5936,1039.8805,681.7886,770.1379,1180.1004,877.796,0.0,1104.0781,644.8228,817.0988,633.795,619.8896,902.1683,539.348,816.2063,1278.1723,1067.0258,845.9802,623.455
H002502,14037,El Grullo,44,F,secundaria,0,propia,45,611.01,14707.6454,488.4352,403.3355,922.1214,493.1991,495.4071,573.8263,474.8855,650.2099,993.7541,622.1958,441.0145,596.0749,342.3877,1184.4141,1024.5078,817.3915,777.9763,582.6906,572.7534,568.7385,0.0,586.8345,489.9851,605.5067
H002503,14037,El Grullo,39,F,secundaria,3,propia,37,300.53,7496.8289,284.6399,90.1621,333.3511,132.171,472.8073,181.369,232.1093,169.9971,485.8595,304.2893,546.7763,550.4635,352.9054,166.0696,311.7839,416.3568,344.0166,269.913,325.7687,340.3512,185.6038,258.573,344.5155,396.976
H002504,14037,El Grullo,41,F,secundaria,2,prestada,41,466.0,11548.996,407.2991,344.7415,435.2917,346.4283,461.5703,598.7578,929.3157,324.9497,644.0522,0.0,275.6086,462.7322,359.4858,388.4085,626.3799,771.9042,696.0112,496.5982,501.0544,851.9159,325.4189,681.8764,314.8971,304.2985
H002505,14037,El Grullo,69,F,primaria,2,propia,56,341.88,7283.3892,334.8424,175.2462,301.0658,474.7645,266.9806,580.0109,172.2893,461.2863,216.9917,328.1436,344.6913,0.0,0.0,186.2163,511.8472,221.045,243.2698,332.6327,272.419,434.2575,278.5363,347.287,334.5967,464.9691
H002506,14037,El Grullo,24,F,primaria,1,propia,137,271.22,6164.3786,189.0356,138.4496,211.3341,351.3307,306.7719,243.5484,0.0,249.125,325.6712,304.3071,0.0,362.8397,311.7831,172.6721,205.7373,509.1267,332.8594,443.2368,344.5837,308.2168,138.021,192.5743,310.6587,212.4955
H002507,14037,El Grullo,51,F,primaria,1,rentada,55,474.98,11381.8824,370.0594,517.4232,488.4691,495.3515,729.0327,735.7673,456.7716,685.575,341.3585,515.8861,530.7486,470.5834,362.1294,285.1468,464.5252,0.0,466.4606,484.0072,577.949,333.9403,500.0811,570.5217,446.5953,553.4995
H002508,14037,El Grullo,25,M,primaria,0,propia,42,472.78,9963.5277,416.4516,183.7395,356.4219,822.6968,585.3511,396.6864,0.0,578.4481,708.2278,428.5375,375.5973,417.4448,325.319,330.0918,493.6491,387.5932,474.0926,820.0817,348.9308,518.2792,0.0,0.0,621.4,374.4875
H002509,14037,El Grullo,44,F,secundaria,1,propia,104,378.71,9213.0229,251.2392,384.0754,345.2874,532.5737,271.7705,520.127,714.1281,421.945,0.0,306.3356,341.7444,471.9523,198.7858,288.3509,389.005,554.4299,668.0014,364.7677,267.4257,391.864,379.9913,545.1208,314.6235,289.4783
H002510,14037,El Grullo,40,F,primaria,3,rentada,29,596.55,11027.7189,483.7936,450.189,0.0,428.8877,421.4104,714.4149,630.2451,467.9116,723.1285,352.9354,500.8204,649.384,672.0262,422.604,0.0,457.0401,775.3455,0.0,434.8767,619.3194,666.2005,0.0,640.9685,516.2174
H002511,14037,El Grullo,20,M,primaria,1,propia,84,334.51,8045.6943,212.5408,246.348,285.7792,392.5433,341.517,659.9262,279.4253,381.7567,304.9538,233.707,504.9262,354.0398,216.4418,313.6868,447.7433,241.8709,346.6948,454.4974,343.2879,390.8615,294.9698,214.2123,294.0081,289.9561
H002512,14037,El Grullo,50,M,primaria,2,propia,32,364.63,7544.7174,287.3774,258.7512,378.819,305.5248,472.1643,437.3537,271.7677,523.6184,280.9803,266.3643,470.384,0.0,305.3672,208.3412,323.6348,326.995,331.8373,313.931,360.8108,484.2111,263.5343,176.4354,496.5145,0.0
H002513,14037,El Grullo,40,M,media_superior,2,propia,65,415.26,8599.3788,285.5938,295.0522,277.8656,343.0601,390.6302,472.3876,345.7,201.3847,267.2095,585.4639,307.085,498.0881,274.0686,439.6008,422.4946,251.5849,300.7141,268.4564,530.7079,284.9698,355.039,412.1471,419.4444,370.6306
H002514,14037,El Grullo,20,F,secundaria,2,rentada,24,439.21,8514.8824,225.063,256.9949,318.7308,187.259,509.1138,0.0,313.4946,639.662,405.64,572.3806,0.0,431.4862,196.9924,388.2911,506.5866,336.4136,470.2129,436.018,324.5936,423.5449,360.4009,498.2593,349.5445,364.1997
H002515,14037,El Grullo,55,M,secundaria,4,propia,53,250.73,5838.4615,126.1556,399.5941,216.9582,166.9062,305.6808,265.1709,0.0,301.6888,329.6906,186.3902,247.7106,161.1724,186.4661,254.5764,190.5211,447.735,257.4091,147.5342,301.5238,477.7754,123.9123,314.2362,177.4698,252.1834
H002516,14037,El Grullo,62,M,secundaria,2,propia,57,888.43,20619.5145,492.2802,951.8017,0.0,1158.6713,670.6177,837.0922,440.3943,1891.3452,1487.2948,1711.6953,1318.6583,763.2856,713.663,807.0282,980.0127,597.5201,648.1286,600.6821,766.3864,803.1447,741.216,971.8892,560.2325,706.4745
H002517,14037,El Grullo,63,M,primaria,2,propia,67,514.26,9131.1032,334.77,545.3827,538.5546,526.8627,399.2379,520.9947,0.0,410.9386,546.1781,432.1892,0.0,485.4818,296.4671,361.9637,430.9877,426.4998,309.3467,415.6167,0.0,580.6407,0.0,369.6071,501.2264,698.1569
H002518,14037,El Grullo,49,F,primaria,0,propia,111,380.29,8289.4237,483.0845,271.9064,275.3162,406.3803,431.5362,381.8856,308.5567,257.1641,441.727,502.7832,323.7964,0.0,331.6876,301.2441,265.5692,214.1492,334.1668,424.2439,737.6167,385.2032,431.1778,0.0,382.6198,397.6085
